country_of_citizenship_x,Sum of Total Assist,Sum of Total Goals,Sum of Total Red Card,Sum of Total Yellow card
Brazil,6532,8429,448,15683
Spain,6354,7104,255,13630
Portugal,5356,6091,227,10835
France,4685,5822,287,8830
Netherlands,4129,5583,180,6245
England,3524,4476,142,5631
Italy,2985,4462,190,7330
Germany,4069,4338,96,5703
Argentina,2473,3700,125,4786
Denmark,2821,3540,70,4516
Belgium,2601,3306,126,4437
Ukraine,2215,3201,118,6718
Russia,2495,2748,118,5821
Turkey,2586,2664,143,5729
Scotland,2199,2292,92,3736
Greece,1555,2234,95,5704
Senegal,773,1681,83,2242
Nigeria,858,1550,48,1624
Sweden,1031,1414,31,1389
Croatia,954,1393,43,2080
Serbia,905,1314,64,2336
Morocco,1096,1306,61,1674
Cote d'Ivoire,759,1209,60,1487
Colombia,564,1088,29,1101
Poland,489,1052,27,1011
Uruguay,570,981,28,1570
Cameroon,444,804,29,1113
Ghana,558,803,47,1611
Norway,492,800,16,808
Algeria,608,792,39,1008
Austria,631,752,20,1116
Bosnia-Herzegovina,533,687,23,1076
Japan,556,647,11,549
DR Congo,423,611,10,812
Mali,370,509,27,976
Switzerland,424,508,26,1129
Iran,253,483,11,303
Ireland,424,480,22,854
Slovenia,306,470,21,762
Egypt,217,464,6,249
Romania,276,444,9,618
Czech Republic,277,405,12,534
Chile,337,379,17,778
Mexico,310,374,11,521
Wales,252,372,13,419
Iceland,227,348,7,500
United States,272,343,11,503
Venezuela,192,341,11,504
Gabon,115,329,8,263
Northern Ireland,250,328,11,453
Cape Verde,222,323,10,527
Tunisia,163,317,13,476
Suriname,298,309,11,457
Slovakia,237,309,13,571
"Korea, South",163,304,6,184
Jamaica,162,303,7,224
Paraguay,129,301,5,290
Australia,270,298,13,427
Israel,205,284,9,225
Guinea,135,275,11,390
Georgia,212,268,14,427
Finland,164,267,10,373
Burkina Faso,134,258,12,428
Angola,202,249,6,376
Canada,132,235,6,275
Albania,151,229,6,675
Kosovo,187,226,6,239
Ecuador,168,220,8,295
Guinea-Bissau,118,215,20,375
Armenia,187,206,5,258
Peru,122,206,7,219
Montenegro,130,182,9,424
Togo,129,180,10,296
North Macedonia,68,157,8,173
Curacao,150,145,6,232
Hungary,109,139,7,237
Costa Rica,89,135,4,242
Bulgaria,106,123,4,224
The Gambia,87,116,6,118
South Africa,93,114,6,151
Belarus,118,100,4,299
Zambia,62,97,1,97
Benin,43,93,3,112
New Zealand,45,90,1,106
Zimbabwe,46,83,5,66
Guadeloupe,75,78,8,183
Tanzania,16,75,1,19
Comoros,52,73,6,70
Moldova,37,68,4,215
Congo,48,68,10,158
Sierra Leone,50,66,2,65
Uzbekistan,53,65,1,80
Cyprus,28,64,3,127
Honduras,38,51,1,99
Luxembourg,59,45,4,163
Haiti,40,45,6,88
Burundi,26,44,1,42
Trinidad and Tobago,31,42,3,42
Mauritania,21,38,6,92
Martinique,35,36,8,159
Faroe Islands,21,33,3,49
Mozambique,31,32,4,182
Lithuania,9,31,3,51
Dominican Republic,7,31,0,19
Azerbaijan,17,28,1,83
Iraq,22,24,2,54
Libya,14,22,1,53
Malta,26,22,1,24
Chad,11,22,1,30
Kenya,12,21,3,74
Uganda,17,21,2,43
Central African Republic,15,20,5,105
Aruba,18,18,0,16
Madagascar,32,18,5,103
Grenada,6,17,0,20
China,7,17,0,12
French Guiana,16,17,3,26
Latvia,9,16,0,43
Bolivia,16,16,1,86
Estonia,9,15,1,41
Niger,5,15,0,24
Palestine,1,14,0,7
Syria,17,13,0,35
Philippines,13,11,1,12
Indonesia,18,10,6,73
Kazakhstan,19,10,1,65
Malaysia,10,9,0,21
Liberia,9,8,1,18
Jordan,3,8,0,12
Mauritius,3,7,1,21
Montserrat,3,7,0,2
Laos,7,6,0,7
Eritrea,1,6,0,1
Lebanon,1,5,0,8
Guyana,5,5,0,9
Pakistan,4,4,0,1
Sao Tome and Principe,3,4,1,15
Equatorial Guinea,4,4,0,25
Antigua and Barbuda,0,3,0,2
Chinese Taipei,1,3,2,20
Rwanda,2,2,0,16
Qatar,4,2,0,13
Liechtenstein,2,2,0,24
Kyrgyzstan,0,2,0,2
Neukaledonien,3,2,0,34
Bermuda,0,2,0,0
Cuba,2,2,0,0
Thailand,2,1,0,4
Saint-Martin,0,1,0,9
Panama,4,1,0,7
Nicaragua,0,1,0,1
Saudi Arabia,0,1,0,7
Southern Sudan,0,1,0,0
El Salvador,2,1,0,4
Vietnam,0,0,0,1
Ethiopia,0,0,0,1
Barbados,0,0,0,0
Tajikistan,1,0,0,1
St. Lucia,0,0,0,0
St. Kitts & Nevis,0,0,0,3
San Marino,0,0,0,1
Afghanistan,1,0,0,2
